rfc_cliente,rfc_deudor,id_division_deudor,tipo_cliente,giro_cliente,id_division_documento,num_zona,pedido,id_c_deudor,id_c_cliente,contra_recibo,id_c_anomalia,status,id_c_moneda,id_c_tipo_localidad,id_c_ruta,importe_documento,saldo_documento,dias_credito,num_visitas,fecha_recibida_aeesa,fecha_reprogramacion,fecha_revision,fecha_inserta,fecha_deposito,fecha_anomalia,target
15.0,1705.0,4.0,2.0,12.0,2.0,0.0,,885.0,4.0,1701.0,17.0,1.0,0.0,,9.0,916299.63,916299.63,30.0,0,2.0,6.0,1,5,,,58
15.0,1705.0,4.0,0.0,12.0,2.0,0.0,,885.0,4.0,1701.0,17.0,1.0,0.0,,9.0,916299.63,916299.63,30.0,0,2.0,6.0,1,5,,,58
15.0,1705.0,4.0,1.0,12.0,2.0,0.0,,885.0,4.0,1701.0,17.0,1.0,0.0,,9.0,916299.63,916299.63,30.0,0,2.0,6.0,1,5,,,58
4.0,553.0,0.0,0.0,,1.0,12.0,,4521.0,20.0,1694.0,8.0,1.0,0.0,,105.0,2059.67,2059.67,22.0,0,2.0,3.0,3,2,,,3
4.0,162.0,0.0,0.0,,1.0,12.0,,2210.0,20.0,1694.0,8.0,1.0,0.0,,105.0,1276.58,1276.58,22.0,0,2.0,3.0,3,2,,,3
4.0,553.0,0.0,0.0,,1.0,12.0,,4521.0,20.0,1694.0,8.0,1.0,0.0,,105.0,4289.92,4289.92,22.0,0,2.0,3.0,3,2,,,3
4.0,879.0,0.0,0.0,,1.0,12.0,,4458.0,20.0,1694.0,8.0,1.0,0.0,,105.0,9940.9,9940.9,22.0,0,2.0,3.0,3,2,,,3
4.0,158.0,0.0,0.0,,1.0,12.0,,4528.0,20.0,1694.0,8.0,1.0,0.0,,105.0,8095.79,8095.79,22.0,0,2.0,3.0,3,2,,,3
4.0,711.0,0.0,0.0,,1.0,12.0,,4590.0,20.0,1694.0,8.0,1.0,0.0,,105.0,727.22,727.22,22.0,0,2.0,3.0,3,2,,,3
4.0,26.0,0.0,0.0,,1.0,12.0,,4619.0,20.0,1694.0,8.0,1.0,0.0,,105.0,581.68,581.68,22.0,0,2.0,3.0,3,2,,,3
4.0,580.0,0.0,0.0,,1.0,12.0,,2038.0,20.0,1694.0,8.0,1.0,0.0,,105.0,686.03,686.03,22.0,0,2.0,3.0,3,2,,,3
4.0,707.0,0.0,0.0,,1.0,12.0,,4648.0,20.0,1694.0,8.0,1.0,0.0,,105.0,2917.26,2917.26,22.0,0,2.0,3.0,3,2,,,3
4.0,214.0,0.0,0.0,,1.0,12.0,,1992.0,20.0,1694.0,8.0,1.0,0.0,,105.0,348.82,348.82,22.0,0,2.0,3.0,3,2,,,3
4.0,854.0,0.0,0.0,,1.0,12.0,,4525.0,20.0,1694.0,8.0,1.0,0.0,,105.0,205.06,205.06,22.0,0,2.0,3.0,3,2,,,3
4.0,1997.0,0.0,0.0,,1.0,12.0,,4682.0,20.0,1694.0,8.0,1.0,0.0,,105.0,5281.6,5281.6,22.0,0,2.0,3.0,3,2,,,3
4.0,557.0,0.0,0.0,,1.0,12.0,,4435.0,20.0,1694.0,8.0,1.0,0.0,,105.0,735.9,735.9,22.0,0,2.0,3.0,3,2,,,3
4.0,353.0,0.0,0.0,,1.0,12.0,,4548.0,20.0,1694.0,8.0,1.0,0.0,,105.0,846.43,846.43,22.0,0,2.0,3.0,3,2,,,3
4.0,902.0,0.0,0.0,,1.0,12.0,,4441.0,20.0,1694.0,8.0,1.0,0.0,,105.0,512.67,512.67,22.0,0,2.0,3.0,3,2,,,3
4.0,877.0,0.0,0.0,,1.0,12.0,,4530.0,20.0,1694.0,8.0,1.0,0.0,,105.0,1431.46,1431.46,22.0,0,2.0,3.0,3,2,,,3
